index,repr. distance,fine distance,cluster,closest cluster,location error (m),neighbour
58.0,0.515106239001285,87.88823468848166,48.0,1.0,0.03928537342319661,0.0
59.0,0.5096550874696788,83.2515757604278,48.0,1.0,0.0,0.0
60.0,0.5086176384353029,89.65162723464096,48.0,1.0,0.020603171843189532,0.0
61.0,0.5082184768709224,91.12802885420894,48.0,1.0,0.06682355436520881,1.0
62.0,0.5055802555984332,90.80506477678057,48.0,1.0,0.08755391300221818,1.0
63.0,0.4823290410488147,83.80314495778678,48.0,1.0,0.046634313514835914,0.0
64.0,0.4891747098477679,80.11495142525686,48.0,1.0,0.0,0.0
65.0,0.49507248959451733,82.2357071374512,48.0,1.0,0.060124005264120414,0.0
66.0,0.47476891385915754,85.92152267929562,48.0,1.0,0.11955195779659986,0.0
67.0,0.5005213730247097,85.87940673499921,48.0,1.0,0.11140241190387226,1.0
68.0,0.5132874819170314,82.73445953837759,48.0,1.0,0.05414522357512258,0.0
69.0,0.5036666031178598,77.49707776381177,48.0,1.0,0.0,0.0
70.0,0.5320680417275316,84.3001275042112,48.0,1.0,0.047083080878379424,0.0
71.0,0.5306809780492079,91.52211601349984,48.0,1.0,0.10031098544027972,0.0
72.0,0.5297912904250228,89.81266566139749,48.0,1.0,0.10417086533671477,0.0
73.0,0.5539062390247689,92.11003160837917,48.0,1.0,0.053466420611445215,0.0
74.0,0.5764212481190922,93.07225778349883,48.0,1.0,0.0,0.0
75.0,0.5921786974161667,95.73678179186986,48.0,1.0,0.05071426380220841,0.0
76.0,0.584322450098623,95.93754454935703,48.0,1.0,0.11030843688947833,0.0
77.0,0.5864004630277717,99.72162504518481,48.0,0.0,0.1566083063601675,1.0
78.0,0.6002349995803655,88.83854666537403,9.0,1.0,0.042417052431775286,0.0
79.0,0.5953979035972323,75.10911524741739,9.0,1.0,0.0,0.0
80.0,0.6415319594891263,83.54129824037031,9.0,1.0,0.04926937004874351,0.0
81.0,0.6356783196631466,95.31838211658523,9.0,1.0,0.0889316674138075,0.0
82.0,0.5861729261415897,100.0,28.0,0.0,3.8163186337655297,102.0
83.0,0.5823146276382638,99.27211959174842,28.0,1.0,0.048783549614598944,0.0
84.0,0.5064523427122807,76.06907095111352,28.0,1.0,0.0,0.0
85.0,0.49174722425051887,91.88902895152877,28.0,1.0,0.031959183594077685,0.0
86.0,0.5006568713396782,100.0,28.0,0.0,3.975839088692599,103.0
87.0,0.49754415123395224,95.10156490506813,28.0,1.0,0.09075372217710981,0.0
88.0,0.49960213868972014,80.79272720412743,28.0,1.0,0.04177283413894695,0.0
89.0,0.47450168996167486,76.27099965934994,28.0,1.0,0.0,0.0
90.0,0.47564040282194076,84.52557785755714,28.0,1.0,0.062777327276653,0.0
91.0,0.5043108523754154,96.77568601155322,28.0,1.0,0.14469721236084646,1.0
92.0,0.488460927178224,89.11768019630563,28.0,1.0,0.09071837890967842,0.0
93.0,0.4882185012491943,82.74890599319289,28.0,1.0,0.04805415720829989,0.0
94.0,0.5088469792038945,80.19406369311358,28.0,1.0,0.0,0.0
95.0,0.5131785777243133,85.70088471992952,28.0,1.0,0.019049205364003823,0.0
96.0,0.48488446401109286,88.79049989348857,28.0,1.0,0.06454677897463214,0.0
97.0,0.5284531160145642,90.85163241659289,28.0,1.0,0.10209469276118144,0.0
98.0,0.5235601625864597,86.77822537050528,28.0,1.0,0.0499366452317332,0.0
99.0,0.5099024942867385,81.41775605763293,28.0,1.0,0.0,0.0
100.0,0.5130340298480418,84.9460692353288,28.0,1.0,0.04998556111518611,0.0
101.0,0.5586027691839965,94.74867996591563,28.0,1.0,0.10002644972705955,0.0
102.0,0.537105110310462,96.77030142660789,28.0,1.0,0.1404580438600797,0.0
103.0,0.5467051582240658,86.95198407979562,28.0,1.0,0.05415655355541039,0.0
104.0,0.5598928309253032,86.36238501447187,28.0,1.0,0.0,0.0
105.0,0.5633728381735956,89.02518790721862,28.0,1.0,0.05409066437011084,0.0
106.0,0.6175011668623613,100.0,28.0,0.0,4.905683476658986,108.0
107.0,0.6495466164679338,100.0,28.0,0.0,4.949369398043754,108.0
108.0,0.6529080418612331,100.0,28.0,0.0,4.978742447144761,110.0
109.0,0.6711774556366465,100.0,49.0,0.0,4.987220803465292,110.0
110.0,0.6657960672577534,100.0,49.0,0.0,5.017770347573312,111.0
111.0,0.6754706304874112,100.0,47.0,0.0,5.040834523668179,111.0
112.0,0.6827301191643178,100.0,28.0,0.0,5.0733582777829715,111.0
113.0,0.6680187788218022,100.0,28.0,0.0,5.105630795446532,111.0
114.0,0.6389115722453866,100.0,28.0,0.0,5.13763785917945,112.0
115.0,0.6436790202900157,100.0,41.0,0.0,5.1746392932822864,113.0
116.0,0.6441911712045194,100.0,41.0,0.0,5.204443043661253,113.0
117.0,0.6584028228365448,100.0,41.0,0.0,5.224993958484641,113.0
118.0,0.6334307122827452,100.0,41.0,0.0,5.2400031693113505,113.0
119.0,0.6502873086293368,100.0,41.0,0.0,5.274362635064544,113.0
120.0,0.6399646611395122,98.59287482880895,41.0,0.0,0.20379731798284317,2.0
121.0,0.5826053721005853,95.4654348360989,41.0,0.0,0.15449373666592442,1.0
122.0,0.5817099033971549,92.01524361298748,41.0,0.0,0.10416562608173588,0.0
123.0,0.6053075207043832,92.24827281568295,41.0,1.0,0.052468957317636955,0.0
124.0,0.5913547652823516,87.22504675596204,41.0,1.0,0.0,0.0
125.0,0.5818247815492565,88.19962263625105,41.0,1.0,0.054813384369148295,0.0
126.0,0.5743289206166993,87.9691906663469,41.0,1.0,0.12142121252071218,1.0
127.0,0.5709389830176117,86.16619726462599,41.0,1.0,0.051308598304767486,0.0
128.0,0.6225117041972317,87.9047704610954,41.0,1.0,0.02178436689463331,0.0
129.0,0.5810963580911452,81.84780520933141,41.0,1.0,0.0,0.0
130.0,0.598190228906722,84.7449326373199,41.0,1.0,0.051308611801528944,0.0
131.0,0.575482685946632,87.52931498735428,41.0,1.0,0.09891907652217549,0.0
132.0,0.5826210500476227,86.8304732609202,41.0,1.0,0.10913511339619342,0.0
133.0,0.5836726271175093,86.38634473891027,41.0,1.0,0.051731932082612536,0.0
134.0,0.601506773552176,85.86236399951778,41.0,1.0,0.0,0.0
135.0,0.5940407840016153,88.44401287120579,41.0,1.0,0.05026798867072335,0.0
136.0,0.567406464929471,88.50454702524596,41.0,1.0,0.09259694984717359,0.0
137.0,0.5809359634627254,89.24872561932054,41.0,1.0,0.10365420427556274,0.0
138.0,0.5486463976557123,80.10672162747807,41.0,1.0,0.04653746108244425,0.0
139.0,0.5815281764531932,78.88837313080606,41.0,1.0,0.0,0.0
140.0,0.5608129323529294,95.39682868575588,3.0,0.0,0.9105517959243173,14.0
141.0,0.5698756971239249,98.41588236081431,3.0,0.0,0.39492990675941464,3.0
142.0,0.5228068512354487,91.08120948190104,3.0,0.0,0.346416506322952,2.0
143.0,0.5245278478111863,88.16734877885143,3.0,0.0,0.29815791674211833,2.0
144.0,0.5335209097296412,87.15385119748369,3.0,0.0,0.24390953655197647,2.0
145.0,0.5402635439610755,91.82130593059665,3.0,0.0,0.19428152656647518,1.0
146.0,0.5494174980519152,92.72890656581889,3.0,0.0,0.14425309086809868,1.0
147.0,0.5285083116656093,88.60326823484792,3.0,1.0,0.09686174853883227,0.0
148.0,0.5308663327941742,89.52350173845855,3.0,1.0,0.047469815936023715,0.0
149.0,0.5197001107320584,86.38252392022927,3.0,1.0,0.0,0.0
150.0,0.5422504238357917,91.71114131045351,3.0,1.0,0.05051364013808547,0.0
151.0,0.5527026525187554,92.70949168704546,3.0,1.0,0.10025331923682121,0.0
